Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Niger,2017,47.3163561314673,2.59076059297535,3.83900131197354,49.7974760938467,50.2025239061533,83.65,3.76730357435162,16.35,4.2066283550111,61.599,60.485,62.776
Niger,2018,47.4206675078562,2.59500788269853,3.81673672075794,49.7710025976669,50.2289974023331,83.575,3.72703474025267,16.425,4.27441604824506,62.024,60.9,63.212
Niger,2019,47.5611194251227,2.59671142648349,3.79420663603704,49.746462131863,50.253537868137,83.483,3.68406763039615,16.517,4.35275345366869,62.42,61.281,63.621
Niger,2020,47.7319491293382,2.59609303958037,3.77135127458367,49.7238484521352,50.2761515478648,83.374,3.64069960288767,16.626,4.42911381901051,62.42,61.281,63.621
Bolivia,2005,58.0641607849653,5.60924865358666,1.784145707414,49.6601876390295,50.3398123609705,35.83,0.51123024246942,64.17,2.50200471033931,65.312,63.192,67.538
Bolivia,2006,58.2875043930857,5.69703662817071,1.75171098814694,49.6597448402945,50.3402551597055,35.372,0.465219451842851,64.628,2.46290121405621,65.853,63.68,68.137
Bolivia,2007,58.5436806156319,5.7933936702426,1.71989014906645,49.6627377820518,50.3372622179482,34.918,0.428076251668775,65.082,2.41991863049589,66.395,64.168,68.736
Bolivia,2008,58.821869650363,5.8968750970791,1.69111797657242,49.6683264658785,50.3316735341215,34.465,0.385310836950781,65.535,2.38474806679037,66.937,64.656,69.334
Bolivia,2009,59.1078042093194,6.00514062982276,1.66617077291181,49.6754609860199,50.3245390139801,34.016,0.354839033940217,65.984,2.34896462272605,67.476,65.142,69.93
Bolivia,2010,59.3933178684771,6.11716668706754,1.64358106824134,49.6834234669775,50.3165765330225,33.57,0.323766517899916,66.43,2.3172260385411,68.007,65.619,70.518
Bolivia,2011,59.6827519246635,6.24274818039913,1.62235980079652,49.6920527671189,50.3079472328811,33.126,0.290921954694989,66.874,2.2885107939436,68.521,66.078,71.091
Bolivia,2012,59.9608621429307,6.36815024866839,1.60004361529199,49.7015179794091,50.2984820205909,32.685,0.259834486297247,67.315,2.2573218027763,69.01,66.509,71.643
Bolivia,2013,60.2377148910535,6.49459794503649,1.57457928674147,49.7120904919432,50.2879095080568,32.301,0.392777746655959,67.699,2.14340829857229,69.468,66.907,72.166
Bolivia,2014,60.5287508533354,6.62352658665745,1.54497716852867,49.723901806722,50.276098193278,31.953,0.46174125955268,68.047,2.05771207935072,69.891,67.271,72.655
Bolivia,2015,60.8389076821595,6.75613837694221,1.51294243320221,49.7370864341458,50.2629135658542,31.607,0.424202020786351,68.393,2.02012358933402,70.277,67.6,73.105
